date,main_chg_mwh,main_chg_fee,aux_mwh,aux_fee,disc_mwh,disc_fee,net_revenue,date_dt,week
2026-01-27,684.59,251207.0,17.41,7925.0,566.64,290017.0,30885.0,2026-01-27,2026-W05
2026-01-28,708.44,413834.0,13.36,10844.0,718.07,476518.0,51840.0,2026-01-28,2026-W05
2026-01-29,712.83,556186.0,15.55,12717.0,628.3,309537.0,-259366.0,2026-01-29,2026-W05
2026-01-30,710.75,198507.0,15.5,7655.0,635.24,215851.0,9689.0,2026-01-30,2026-W05
2026-01-31,907.48,45116.0,11.99,3056.0,806.89,193888.0,145717.0,2026-01-31,2026-W05
2026-02-01,895.91,-5673.0,20.01,4922.0,828.74,236279.0,237031.0,2026-02-01,2026-W05
2026-02-02,1103.49,234665.0,9.44,2201.0,983.98,153138.0,-83728.0,2026-02-02,2026-W06
2026-02-03,970.85,2627.0,6.74,652.0,860.82,56459.0,53180.0,2026-02-03,2026-W06
2026-02-04,1045.41,20199.0,5.96,20.0,939.37,18448.0,-1771.0,2026-02-04,2026-W06
2026-02-05,1143.45,115634.0,16.58,5383.0,1034.46,542492.0,421475.0,2026-02-05,2026-W06
2026-02-06,312.81,92255.0,26.43,8341.0,300.89,26601.0,-73995.0,2026-02-06,2026-W06
2026-02-07,718.52,-35926.0,19.87,1251.0,641.45,209885.0,244560.0,2026-02-07,2026-W06
2026-02-08,953.62,8291.0,16.52,847.0,578.48,67110.0,57972.0,2026-02-08,2026-W06
2026-02-09,616.37,-6361.0,16.68,-238.0,726.32,-22313.0,-15714.0,2026-02-09,2026-W07
2026-02-10,903.88,6642.0,14.98,2338.0,923.52,289696.0,280716.0,2026-02-10,2026-W07
2026-02-11,1040.66,-12529.0,13.3,-476.0,662.05,101085.0,114090.0,2026-02-11,2026-W07
2026-02-12,1038.48,18914.0,7.79,306.0,1206.15,209387.0,190167.0,2026-02-12,2026-W07
2026-02-13,1065.38,40.0,7.84,-196.0,397.64,24906.0,25063.0,2026-02-13,2026-W07
2026-02-14,908.82,-43559.0,6.2,-237.0,1028.94,-48820.0,-5024.0,2026-02-14,2026-W07
2026-02-15,1094.75,23537.0,15.33,823.0,1344.88,377640.0,353281.0,2026-02-15,2026-W07
2026-02-16,814.29,-15404.0,14.51,4231.0,729.66,204987.0,216160.0,2026-02-16,2026-W08
2026-02-17,1097.05,-26403.0,9.81,-166.0,373.13,-413.0,26156.0,2026-02-17,2026-W08
2026-02-18,1026.15,-47058.0,13.62,-676.0,799.24,-29630.0,18104.0,2026-02-18,2026-W08
2026-02-19,0.0,0.0,23.58,-1180.0,0.65,-32.0,1148.0,2026-02-19,2026-W08
2026-02-20,0.0,0.0,22.14,-1107.0,0.0,0.0,1107.0,2026-02-20,2026-W08
2026-02-21,0.0,0.0,26.33,1311.0,0.0,0.0,-1311.0,2026-02-21,2026-W08
2026-02-22,1071.53,-53576.0,16.78,-363.0,1703.62,65731.0,119671.0,2026-02-22,2026-W08
2026-02-23,1093.14,-15354.0,19.02,3354.0,627.4,128671.0,140671.0,2026-02-23,2026-W09
2026-02-24,1093.16,23109.0,14.51,-72.0,605.8,109471.0,86434.0,2026-02-24,2026-W09
2026-02-25,141.68,-7084.0,27.9,638.0,317.81,70002.0,76448.0,2026-02-25,2026-W09
2026-02-26,895.14,204004.0,10.05,2937.0,1350.55,256060.0,49118.0,2026-02-26,2026-W09
2026-02-27,1006.03,350648.0,14.5,3311.0,784.06,111923.0,-242036.0,2026-02-27,2026-W09
2026-02-28,1107.51,226480.0,12.08,2129.0,817.56,197898.0,-30711.0,2026-02-28,2026-W09
2026-03-01,745.67,259979.0,6.57,3390.0,723.37,272046.0,8677.0,2026-03-01,2026-W09
2026-03-02,1165.5,2700.0,12.0,-86.0,542.28,58387.0,55773.0,2026-03-02,2026-W10
2026-03-03,1078.68,12682.0,12.83,913.0,1321.8,240968.0,227373.0,2026-03-03,2026-W10
2026-03-04,1185.41,414476.0,13.93,4912.0,1056.78,303043.0,-116345.0,2026-03-04,2026-W10
2026-03-05,1189.44,-29047.0,15.51,2388.0,739.74,155645.0,182305.0,2026-03-05,2026-W10
2026-03-06,1217.11,440018.0,13.06,5120.0,1259.07,446282.0,1144.0,2026-03-06,2026-W10
2026-03-07,1305.07,57137.0,9.21,65.0,881.28,131589.0,74388.0,2026-03-07,2026-W10
2026-03-08,1152.91,47625.0,12.25,1874.0,1624.78,465931.0,416432.0,2026-03-08,2026-W10
2026-03-09,1175.81,44764.0,23.46,4288.0,565.57,67222.0,18169.0,2026-03-09,2026-W11
2026-03-10,1132.53,38378.0,10.89,714.0,1366.29,350599.0,311508.0,2026-03-10,2026-W11
2026-03-11,838.25,313505.0,13.82,3848.0,610.62,275411.0,-41941.0,2026-03-11,2026-W11
2026-03-12,303.65,-15182.0,20.8,-276.0,0.38,-18.0,15440.0,2026-03-12,2026-W11
2026-03-13,838.1,52334.0,18.09,5363.0,755.37,-28733.0,-86429.0,2026-03-13,2026-W11
2026-03-14,837.71,235072.0,9.03,3269.0,1134.25,496397.0,258056.0,2026-03-14,2026-W11
2026-03-15,837.93,282909.0,12.59,3664.0,1130.11,375595.0,89023.0,2026-03-15,2026-W11
2026-03-16,1152.87,57109.0,14.59,359.0,286.63,11746.0,-45722.0,2026-03-16,2026-W12
2026-03-17,1132.56,124702.0,13.17,2787.0,1221.65,338516.0,211027.0,2026-03-17,2026-W12
2026-03-18,1185.15,45481.0,8.09,-68.0,1169.16,280933.0,235521.0,2026-03-18,2026-W12
2026-03-19,1098.2,17575.0,7.69,284.0,1339.62,414485.0,396626.0,2026-03-19,2026-W12
2026-03-20,1187.77,12785.0,13.13,2153.0,883.08,129238.0,114300.0,2026-03-20,2026-W12
2026-03-21,1173.95,-44807.0,13.0,-410.0,603.28,7725.0,52942.0,2026-03-21,2026-W12
2026-03-22,862.16,182732.0,6.55,1891.0,1403.9,481213.0,296591.0,2026-03-22,2026-W12
2026-03-23,1178.75,-12062.0,14.08,1223.0,752.53,86779.0,97618.0,2026-03-23,2026-W13
2026-03-24,1186.55,3306.0,13.32,-256.0,1042.23,179168.0,176118.0,2026-03-24,2026-W13
2026-03-25,1188.14,35740.0,6.69,-113.0,1494.26,488879.0,453252.0,2026-03-25,2026-W13
2026-03-26,1188.29,394276.0,10.55,4098.0,541.84,254922.0,-143451.0,2026-03-26,2026-W13
2026-03-27,952.42,284593.0,1.8,700.0,1414.15,765943.0,480650.0,2026-03-27,2026-W13
2026-03-28,1170.8,466288.0,12.66,4160.0,856.49,215200.0,-255248.0,2026-03-28,2026-W13
2026-03-29,1181.75,321674.0,7.28,2227.0,635.3,172391.0,-151509.0,2026-03-29,2026-W13
2026-03-30,837.54,384285.0,10.35,3478.0,1401.7,531139.0,143376.0,2026-03-30,2026-W14
2026-03-31,1190.81,52029.0,9.35,932.0,468.64,68344.0,15382.0,2026-03-31,2026-W14
2026-04-01,916.23,185004.0,16.73,4704.0,999.94,421449.0,231742.0,2026-04-01,2026-W14
2026-04-02,1187.23,20200.0,12.65,23.0,751.68,123437.0,103215.0,2026-04-02,2026-W14
2026-04-03,0.0,0.0,14.72,-2.0,683.9,290338.0,290340.0,2026-04-03,2026-W14
2026-04-04,1069.71,5201.0,14.61,7.0,272.57,-13466.0,-18673.0,2026-04-04,2026-W14
2026-04-05,1194.11,24776.0,12.31,617.0,1270.92,185960.0,160568.0,2026-04-05,2026-W14
2026-04-06,1124.88,40466.0,7.66,-134.0,1356.72,404624.0,364292.0,2026-04-06,2026-W15
2026-04-07,1172.57,153113.0,16.41,2190.0,499.14,174705.0,19402.0,2026-04-07,2026-W15
2026-04-08,349.82,53224.0,11.69,-125.0,578.51,124359.0,71261.0,2026-04-08,2026-W15
2026-04-09,1183.54,186635.0,12.56,588.0,884.36,186791.0,-431.0,2026-04-09,2026-W15
2026-04-10,1215.24,221442.0,10.57,1130.0,1423.54,445542.0,222969.0,2026-04-10,2026-W15
2026-04-11,1084.12,87859.0,17.67,1470.0,475.51,202176.0,112848.0,2026-04-11,2026-W15
2026-04-12,865.54,62701.0,25.13,2160.0,1123.51,166761.0,101901.0,2026-04-12,2026-W15
2026-04-13,1072.35,83411.0,10.52,2147.0,755.11,147285.0,61728.0,2026-04-13,2026-W16
2026-04-14,1228.53,191392.0,7.99,1584.0,1325.6,458618.0,265642.0,2026-04-14,2026-W16
2026-04-15,1131.01,26620.0,20.63,-482.0,554.2,58323.0,32185.0,2026-04-15,2026-W16
2026-04-16,881.47,-13481.0,7.96,1551.0,778.93,248944.0,260873.0,2026-04-16,2026-W16
2026-04-17,1067.15,7438.0,6.53,81.0,1383.52,72789.0,65270.0,2026-04-17,2026-W16
