指标,策略值,实际值
天数,81.0,81.0
总充电量MWh,87486.0,75065.2
总放电量MWh,79612.2,68266.1
总毛收益万,1176.3,823.61
总净收益万,1158.5,807.32
日均净收益万,14.302,9.967
全年外推亿,0.522,0.364
1.1 单位功率收益均值(元/MW),744.7,534.6
1.2 度电收益均值(元/MWh),64.91,52.91
1.3 度电净收益均值(元/MWh),63.81,74.57
1.4 Top10%收益集中度%,38.9,43.3
1.4 Top20%收益集中度%,64.0,69.0
1.5 单循环P50(万元),11.791,10.355
1.5 单循环P90(万元),25.263,23.906
1.5 单循环均值(万元),11.641,9.442
1.5 等效循环总次数,99.5,85.3
2.1 价差利用率均值%,38.0,27.5
2.2 放电价格百分位均值%,63.2,63.9
2.3 充电价格百分位均值%,41.3,50.5
2.4 平均价差均值(元/MWh),133.96,107.71
2.5 盈亏门槛均值(元/MWh),19.43,20.21
2.6 放电高价抓取率均值%,24.7,23.0
2.7 充电低价抓取率均值%,28.3,22.6
