date,mse_net,dfl_net,diff
2026-01-25,-28470.0,-41559.0,-13089.0
2026-01-26,219563.0,384380.0,164817.0
2026-01-27,485391.0,309660.0,-175731.0
2026-01-28,422648.0,324872.0,-97776.0
2026-01-29,-104071.0,-96346.0,7725.0
2026-01-30,137729.0,7827.0,-129902.0
2026-01-31,254339.0,246176.0,-8163.0
2026-02-01,305436.0,333809.0,28373.0
2026-02-02,65518.0,111337.0,45819.0
2026-02-03,78479.0,-71562.0,-150041.0
2026-02-04,25036.0,-49442.0,-74478.0
2026-02-05,657837.0,660273.0,2436.0
2026-02-06,-89860.0,-134137.0,-44277.0
2026-02-07,201462.0,216076.0,14614.0
2026-02-08,39893.0,27048.0,-12845.0
2026-02-09,78474.0,100349.0,21875.0
2026-02-10,281221.0,451796.0,170575.0
2026-02-11,83851.0,134439.0,50588.0
2026-02-12,139410.0,-4950.0,-144360.0
2026-02-13,55112.0,73534.0,18422.0
2026-02-14,51321.0,44009.0,-7312.0
2026-02-15,476104.0,455326.0,-20778.0
2026-02-16,225240.0,239559.0,14319.0
2026-02-17,7871.0,4524.0,-3347.0
2026-02-18,62053.0,39262.0,-22791.0
2026-02-19,-2134.0,10692.0,12826.0
2026-02-20,13984.0,-27717.0,-41701.0
2026-02-21,74256.0,235756.0,161500.0
2026-02-22,134194.0,166668.0,32474.0
2026-02-23,227250.0,229552.0,2302.0
2026-02-24,51172.0,66031.0,14859.0
2026-02-25,243507.0,246482.0,2975.0
2026-02-26,-112732.0,-106374.0,6358.0
2026-02-27,-173850.0,-165986.0,7864.0
2026-02-28,138316.0,78528.0,-59788.0
2026-03-01,-111451.0,-184027.0,-72576.0
2026-03-02,41103.0,40955.0,-148.0
2026-03-03,448584.0,403323.0,-45261.0
2026-03-04,-66029.0,-60559.0,5470.0
2026-03-05,47291.0,69200.0,21909.0
2026-03-06,178283.0,260974.0,82691.0
2026-03-07,97056.0,139046.0,41990.0
2026-03-08,332076.0,284570.0,-47506.0
2026-03-09,51524.0,9548.0,-41976.0
2026-03-10,419215.0,397948.0,-21267.0
2026-03-11,-220913.0,-179000.0,41913.0
2026-03-12,-18809.0,-6761.0,12048.0
2026-03-13,192669.0,207027.0,14358.0
2026-03-14,258259.0,142730.0,-115529.0
2026-03-15,-15763.0,3882.0,19645.0
2026-03-16,91405.0,94957.0,3552.0
2026-03-17,296507.0,18035.0,-278472.0
2026-03-18,347361.0,303840.0,-43521.0
2026-03-19,349878.0,336362.0,-13516.0
2026-03-20,103223.0,149933.0,46710.0
2026-03-21,-3818.0,-1712.0,2106.0
2026-03-22,451587.0,496673.0,45086.0
2026-03-23,64811.0,76017.0,11206.0
2026-03-24,188295.0,172289.0,-16006.0
2026-03-25,310128.0,274834.0,-35294.0
2026-03-26,53401.0,-139129.0,-192530.0
2026-03-27,308794.0,525672.0,216878.0
2026-03-28,-152936.0,-195074.0,-42138.0
2026-03-29,-112245.0,156229.0,268474.0
2026-03-30,303114.0,-85527.0,-388641.0
2026-03-31,255770.0,223439.0,-32331.0
2026-04-01,144849.0,210112.0,65263.0
2026-04-02,24810.0,40407.0,15597.0
2026-04-03,345091.0,327346.0,-17745.0
2026-04-04,100895.0,37559.0,-63336.0
2026-04-05,305358.0,258242.0,-47116.0
2026-04-06,300492.0,294502.0,-5990.0
2026-04-07,-11040.0,-51849.0,-40809.0
2026-04-08,89227.0,97068.0,7841.0
2026-04-09,110233.0,119454.0,9221.0
2026-04-10,599585.0,371644.0,-227941.0
2026-04-11,23722.0,-55307.0,-79029.0
2026-04-12,182435.0,204969.0,22534.0
2026-04-13,-3615.0,45616.0,49231.0
2026-04-14,209731.0,4764.0,-204967.0
2026-04-15,85812.0,32838.0,-52974.0
2026-04-16,154476.0,318610.0,164134.0
2026-04-17,76679.0,144664.0,67985.0
2026-04-18,16128.0,8794.0,-7334.0
