date,charge_window,discharge_window,charge_mwh,discharge_mwh,gross,aux_cost,net,pf_gross,pf_aux_cost,pf_net
2026-01-25,04:00–20:00,06:15–24:00,1200.0,1092.0,14041.0,1651.0,12390.0,176412.0,1651.0,174761.0
2026-01-26,00:00–15:00,06:45–24:00,1200.0,1092.0,490586.0,5022.0,485563.0,765068.0,5022.0,760046.0
2026-01-27,04:00–21:00,06:00–22:45,1033.63,940.6,271830.0,6146.0,265684.0,481164.0,6146.0,475018.0
2026-01-28,08:45–16:00,10:45–23:30,910.06,828.15,158507.0,9777.0,148730.0,608656.0,9777.0,598879.0
2026-01-29,00:00–10:00,08:00–17:00,910.06,828.15,-203740.0,9796.0,-213536.0,676336.0,9796.0,666540.0
2026-01-30,01:30–20:00,10:00–24:00,1106.25,1006.69,80120.0,5429.0,74691.0,224345.0,5429.0,218916.0
2026-01-31,11:15–20:15,16:30–24:00,903.63,822.3,269883.0,2370.0,267513.0,324408.0,2370.0,322038.0
2026-02-01,00:00–17:00,01:30–24:00,1049.88,955.39,336675.0,2214.0,334461.0,405033.0,2214.0,402819.0
2026-02-02,00:00–23:00,01:15–24:00,1200.0,1092.0,66070.0,2432.0,63638.0,277750.0,2432.0,275317.0
2026-02-03,00:00–22:45,01:15–24:00,1200.0,1092.0,68517.0,883.0,67634.0,183342.0,883.0,182459.0
2026-02-04,01:00–17:15,03:00–24:00,1200.0,1092.0,105296.0,332.0,104964.0,163669.0,332.0,163337.0
2026-02-05,01:45–16:15,05:00–22:15,945.77,860.65,497021.0,4539.0,492482.0,652534.0,4539.0,647996.0
2026-02-06,00:00–16:30,01:30–20:30,1200.0,1092.0,-99398.0,3964.0,-103362.0,239521.0,3964.0,235557.0
2026-02-07,04:00–16:00,05:00–21:30,1049.88,955.39,273761.0,1088.0,272673.0,356571.0,1088.0,355483.0
2026-02-08,01:00–16:30,03:45–21:15,1200.0,1092.0,60515.0,927.0,59589.0,155375.0,927.0,154448.0
2026-02-09,01:15–18:15,06:45–24:00,1200.0,1092.0,-70593.0,-112.0,-70481.0,171141.0,-112.0,171254.0
2026-02-10,02:45–15:00,05:45–21:15,1200.0,1092.0,340748.0,2324.0,338424.0,450683.0,2324.0,448359.0
2026-02-11,05:00–21:15,08:00–24:00,1200.0,1092.0,143238.0,309.0,142930.0,211847.0,309.0,211538.0
2026-02-12,09:45–15:00,17:45–23:00,838.63,763.15,75359.0,1399.0,73960.0,299428.0,1399.0,298030.0
2026-02-13,00:00–20:30,01:15–23:30,1200.0,1092.0,93555.0,141.0,93414.0,144900.0,141.0,144759.0
2026-02-14,01:45–18:45,05:00–24:00,1200.0,1092.0,27297.0,-550.0,27847.0,41788.0,-550.0,42338.0
2026-02-15,00:00–16:15,04:00–24:00,1200.0,1092.0,336113.0,2070.0,334043.0,349525.0,2070.0,347455.0
2026-02-16,00:00–14:15,02:15–23:15,1160.06,1055.65,216378.0,2544.0,213834.0,285497.0,2544.0,282953.0
2026-02-17,09:00–16:30,13:15–23:00,945.77,860.65,4256.0,-117.0,4373.0,12415.0,-117.0,12531.0
2026-02-18,00:00–23:30,02:15–24:00,1138.57,1036.1,12444.0,-591.0,13035.0,27406.0,-591.0,27996.0
2026-02-19,00:00–14:00,04:45–21:15,1200.0,1092.0,5146.0,-652.0,5799.0,5653.0,-652.0,6306.0
2026-02-20,00:00–16:00,03:00–22:00,1200.0,1092.0,5400.0,-652.0,6051.0,5400.0,-652.0,6052.0
2026-02-21,00:30–15:15,03:15–24:00,1200.0,1092.0,199376.0,278.0,199098.0,250244.0,278.0,249966.0
2026-02-22,00:00–16:30,04:45–23:15,1200.0,1092.0,175729.0,197.0,175531.0,216253.0,197.0,216056.0
2026-02-23,05:00–16:00,07:00–22:30,999.34,909.4,253679.0,1391.0,252287.0,348534.0,1391.0,347143.0
2026-02-24,00:45–23:30,03:00–24:00,1166.84,1061.83,37092.0,374.0,36718.0,44257.0,374.0,43883.0
2026-02-25,00:00–16:00,09:30–24:00,1200.0,1092.0,283328.0,860.0,282468.0,310269.0,860.0,309409.0
2026-02-26,11:15–17:00,17:30–23:15,838.63,763.15,-90440.0,3087.0,-93527.0,205339.0,3087.0,202253.0
2026-02-27,00:00–20:30,05:30–23:30,1200.0,1092.0,110109.0,2965.0,107144.0,387454.0,2965.0,384489.0
2026-02-28,01:00–17:00,11:45–24:00,1200.0,1092.0,123896.0,2835.0,121061.0,323939.0,2835.0,321104.0
2026-03-01,00:00–22:00,07:30–23:30,1200.0,1092.0,-295679.0,5358.0,-301037.0,143154.0,5358.0,137796.0
2026-03-02,05:30–19:30,07:00–24:00,1124.34,1023.15,100700.0,260.0,100440.0,182309.0,260.0,182049.0
2026-03-03,00:00–15:00,04:45–24:00,1200.0,1092.0,328737.0,1906.0,326830.0,403617.0,1906.0,401710.0
2026-03-04,13:45–17:45,18:00–24:00,682.5,621.08,-20801.0,4269.0,-25070.0,169215.0,4269.0,164946.0
2026-03-05,09:45–17:00,12:15–24:00,926.25,842.89,272734.0,1457.0,271277.0,324478.0,1457.0,323021.0
2026-03-06,08:30–16:00,11:45–21:00,945.77,860.65,38730.0,4789.0,33941.0,216437.0,4789.0,211648.0
2026-03-07,00:30–20:30,02:00–24:00,1200.0,1092.0,200662.0,821.0,199841.0,224142.0,821.0,223321.0
2026-03-08,00:00–17:00,02:45–24:00,1086.96,989.14,263398.0,2365.0,261033.0,289472.0,2365.0,287107.0
2026-03-09,01:00–17:45,02:15–23:30,945.77,860.65,69655.0,1054.0,68601.0,130213.0,1054.0,129159.0
2026-03-10,00:00–17:00,03:00–24:00,1200.0,1092.0,319447.0,1954.0,317494.0,358946.0,1954.0,356992.0
2026-03-11,00:00–17:15,01:45–24:00,1179.88,1073.69,-174100.0,4419.0,-178520.0,305366.0,4419.0,300946.0
2026-03-12,03:00–22:15,04:00–24:00,1200.0,1092.0,108097.0,-157.0,108254.0,154268.0,-157.0,154424.0
2026-03-13,00:30–17:00,06:45–24:00,1200.0,1092.0,113353.0,2747.0,110606.0,493332.0,2747.0,490585.0
2026-03-14,00:00–16:15,02:45–21:15,1052.91,958.15,-2822.0,4872.0,-7694.0,92346.0,4872.0,87475.0
2026-03-15,00:00–16:00,02:00–23:00,1200.0,1092.0,-10206.0,4203.0,-14409.0,243629.0,4203.0,239426.0
2026-03-16,02:00–21:45,05:45–24:00,1200.0,1092.0,80400.0,542.0,79858.0,142179.0,542.0,141637.0
2026-03-17,00:00–21:00,04:45–24:00,1192.14,1084.85,67231.0,2556.0,64676.0,421468.0,2556.0,418912.0
2026-03-18,00:00–16:00,01:15–22:30,1179.88,1073.69,185418.0,1565.0,183854.0,227908.0,1565.0,226344.0
2026-03-19,01:00–16:45,06:00–24:00,1160.06,1055.65,360831.0,2350.0,358481.0,447553.0,2350.0,445204.0
2026-03-20,08:45–17:15,10:30–22:30,999.34,909.4,135690.0,1595.0,134095.0,208137.0,1595.0,206542.0
2026-03-21,03:15–18:00,06:00–24:00,1200.0,1092.0,51325.0,-175.0,51500.0,102176.0,-175.0,102351.0
2026-03-22,00:00–15:00,04:00–24:00,1200.0,1092.0,264015.0,4204.0,259811.0,382555.0,4204.0,378352.0
2026-03-23,07:45–16:45,10:45–24:00,1106.49,1006.9,105443.0,967.0,104476.0,137639.0,967.0,136673.0
2026-03-24,04:45–16:15,06:30–24:00,1140.77,1038.1,249422.0,817.0,248605.0,264409.0,817.0,263592.0
2026-03-25,00:00–22:45,01:15–24:00,1121.31,1020.39,280861.0,2470.0,278391.0,419252.0,2470.0,416782.0
2026-03-26,09:45–14:45,17:30–23:00,838.63,763.15,239376.0,5072.0,234305.0,466409.0,5072.0,461338.0
2026-03-27,00:00–15:15,01:45–21:30,1153.81,1049.96,88687.0,5869.0,82819.0,345203.0,5869.0,339334.0
2026-03-28,00:00–20:00,01:15–22:00,1200.0,1092.0,-62635.0,4219.0,-66854.0,120603.0,4219.0,116385.0
2026-03-29,00:30–17:00,02:30–24:00,1200.0,1092.0,-71964.0,3748.0,-75712.0,132482.0,3748.0,128734.0
2026-03-30,00:00–22:45,03:45–24:00,1200.0,1092.0,-22940.0,5132.0,-28072.0,307317.0,5132.0,302184.0
2026-03-31,02:00–16:00,03:15–24:00,1124.34,1023.15,236187.0,1183.0,235004.0,274930.0,1183.0,273748.0
2026-04-01,00:00–17:00,02:15–24:00,1179.88,1073.69,211598.0,4059.0,207539.0,321491.0,4059.0,317432.0
2026-04-02,00:00–16:45,03:00–23:00,1033.63,940.6,43417.0,533.0,42884.0,114781.0,533.0,114247.0
2026-04-03,02:45–17:00,05:45–23:15,1200.0,1092.0,392168.0,1000.0,391168.0,418829.0,1000.0,417829.0
2026-04-04,09:15–16:00,15:00–23:00,854.88,777.94,135526.0,160.0,135366.0,179827.0,160.0,179668.0
2026-04-05,00:00–16:15,03:45–24:00,1200.0,1092.0,351223.0,928.0,350295.0,367383.0,928.0,366455.0
2026-04-06,03:00–17:00,04:00–24:00,957.2,871.05,210075.0,1877.0,208198.0,327511.0,1877.0,325634.0
2026-04-07,07:45–18:00,10:30–23:15,1200.0,1092.0,-91141.0,2348.0,-93489.0,273508.0,2348.0,271160.0
2026-04-08,00:00–16:00,01:30–23:00,1200.0,1092.0,160839.0,511.0,160327.0,231487.0,511.0,230976.0
2026-04-09,00:00–17:00,02:15–24:00,1200.0,1092.0,104581.0,1976.0,102605.0,362660.0,1976.0,360684.0
2026-04-10,02:45–17:00,04:30–24:00,1105.06,1005.6,600534.0,2411.0,598124.0,658756.0,2411.0,656345.0
2026-04-11,10:00–18:00,13:00–24:00,999.34,909.4,89886.0,1638.0,88248.0,169918.0,1638.0,168280.0
2026-04-12,00:00–16:00,03:45–21:15,1200.0,1092.0,4161.0,1428.0,2734.0,284458.0,1428.0,283030.0
2026-04-13,04:30–15:00,06:00–24:00,945.77,860.65,108599.0,2333.0,106267.0,257982.0,2333.0,255649.0
2026-04-14,09:45–14:45,18:00–23:30,838.63,763.15,206692.0,3529.0,203162.0,380958.0,3529.0,377429.0
2026-04-15,02:00–17:00,03:45–24:00,1200.0,1092.0,111816.0,341.0,111475.0,133802.0,341.0,133461.0
2026-04-16,00:00–16:30,03:15–24:00,1200.0,1092.0,-37343.0,2107.0,-39450.0,112835.0,2107.0,110729.0
2026-04-17,03:45–17:00,07:30–22:15,1200.0,1092.0,92838.0,454.0,92384.0,255413.0,454.0,254959.0
2026-04-18,03:00–16:15,04:00–23:15,1200.0,1092.0,52906.0,-469.0,53375.0,69809.0,-469.0,70278.0
